name,domain,year founded,industry
alstom,alstom.com,1928,railroad manufacture
cummins inc.,cummins.com,1919,automotive
centurylink,centurylink.com,1930,telecommunications
psa peugeot citroën,groupe-psa.com,1976,automotive
european commission,europa.eu,1958,government administration
amgen,amgen.com,1980,biotechnology
abn amro bank n.v.,abnamro.nl,1817,banking
cvs pharmacy,,1963,pharmaceuticals
trw,zf.com,1915,automotive
ncr corporation,ncr.com,1884,information technology and services
akzonobel,akzonobel.com,1994,chemicals
amdocs,amdocs.com,1982,telecommunications
abbvie,abbvie.com,2013,pharmaceuticals
arcelormittal,arcelormittal.com,2006,mining & metals
free lance,dottorpaolo.com,,internet
jaguar land rover,jaguarlandrovercareers.com,1922,automotive
autônoma,sirin.com.br,,human resources
sgs,sgs.com,1878,international trade and development
wipro infotech,,1945,information technology and services
aramark,aramark.com,1939,retail
"ministero istruzione, universita' e ricerca",miur.it,,government administration
samsung,,1969,consumer electronics
kuehne + nagel,kuehne-nagel.com,1890,logistics and supply chain
cerner corporation,cerner.com,1979,information technology and services
mckinsey & company,mckinsey.com,,management consulting
kimberly-clark,careersatkc.com,1872,consumer goods
caixa economica federal,caixa.gov.br,1861,banking
"biocolloids fate and transport in environmental systems, network biomet",,,retail
agilent technologies,agilent.com,1999,biotechnology
upwork,upwork.com,2015,internet
whole foods market,wholefoodsmarket.com,1980,supermarkets
comcast cable,,1963,telecommunications
indra,indracompany.com,1993,information technology and services
southwest airlines,southwest.com,1971,airlines/aviation
mid managing international diffusion,midshop.it,2013,management consulting
stryker,stryker.com,1941,medical devices
international mission of mercy (imm),immusa.org,1991,public relations and communications
british american tobacco,bat.com,1902,tobacco
nordea,nordea.com,,banking
bank of america merrill lynch,bofaml.com,,financial services
publix super markets,publix.com,1930,retail
own businees,fbook.me,,food production
youtube,youtube.com,2005,internet
u.s. department of state,state.gov,,international affairs
"""cecaci""  centro de capacitacion comercial e industrial",,,professional training & coaching
mars,mars.com,1911,food production
lic,licindia.in,1956,insurance
sabic,sabic.com,1976,chemicals
bsnl,bsnl.co.in,,telecommunications
danone,danone.com,1919,food production
usaa,usaa.com,1922,financial services
chicago public schools,cps.edu,1837,education management
le groupe la poste,laposte.fr,,logistics and supply chain
bmo financial group,bmo.com,1817,financial services
fresenius medical care,fmcna.com,1996,hospital & health care
cushman & wakefield,cushmanwakefield.com,1917,commercial real estate
ing,ing.com,1991,banking
rolls-royce,rolls-royce.com,1884,aviation & aerospace
cigna,cigna.com,1982,"health, wellness and fitness"
ymca,ymca.net,1844,non-profit organization management
prudential financial,prudential.com,1875,financial services
saipem,saipem.com,1957,oil & energy
bosch,bosch.com,1886,mechanical or industrial engineering
rodan + fields,rodanandfields.com,2002,consumer goods
rr donnelley,rrdonnelley.com,1864,printing
vmware,vmware.com,1998,computer software
university of washington,washington.edu,,higher education
penn state university,psu.edu,1855,higher education
texas instruments,ti.com,1930,semiconductors
michelin,michelin.com,1889,automotive
baxter international inc.,baxter.com,1931,medical devices
sakri it solutions pvt ltd,xyx.in,,information technology and services
rabobank,rabobank.nl,,banking
